age,income,loan_amount,credit_score,employment_years,previous_defaults,num_open_accounts,credit_history_years,monthly_debt,debt_to_income_ratio,loan_purpose,home_ownership,education,marital_status,risk
59,42187,13391,681,22,1,3,18,3289.37,0.936,small_business,rent,high_school,single,1
72,96110,2118,666,8,0,4,21,2420.8,0.302,debt_consolidation,own,high_school,single,0
49,58492,38751,625,29,0,4,28,133.61,0.027,debt_consolidation,rent,master,single,0
35,71369,15878,793,18,0,3,13,368.04,0.062,debt_consolidation,mortgage,phd,married,0
63,79353,28796,693,37,0,9,6,3035.29,0.459,debt_consolidation,rent,master,married,0
28,34964,20918,735,2,0,14,8,1841.46,0.632,debt_consolidation,mortgage,high_school,single,1
41,64830,14497,646,2,0,3,24,1681.48,0.311,car,rent,bachelor,single,0
59,92991,13876,611,33,1,2,27,668.73,0.086,debt_consolidation,rent,other,single,0
39,105480,6297,612,1,0,13,12,713.54,0.081,debt_consolidation,mortgage,high_school,single,0
43,60998,9594,714,26,0,1,15,3211.23,0.632,other,own,high_school,married,0
31,54051,2906,704,22,0,11,20,3333.17,0.74,debt_consolidation,rent,high_school,married,0
31,66725,1597,634,31,0,1,3,2284.01,0.411,medical,rent,other,married,0
44,66090,40036,683,34,0,5,6,1251.0,0.227,debt_consolidation,mortgage,bachelor,single,0
73,94668,18346,717,39,0,12,29,3737.53,0.474,small_business,own,phd,single,0
56,35090,32588,610,17,0,12,2,2533.45,0.866,debt_consolidation,rent,high_school,single,1
60,53003,5471,625,26,1,5,19,3206.9,0.726,car,rent,master,married,0
44,32071,500,681,10,0,12,14,112.8,0.042,car,rent,high_school,married,1
23,34697,3266,524,38,0,9,24,1856.25,0.642,other,rent,high_school,married,1
42,69414,9935,682,18,1,4,20,3496.7,0.604,debt_consolidation,rent,bachelor,single,0
73,80246,15437,571,24,0,5,25,1419.11,0.212,debt_consolidation,rent,bachelor,married,0
22,43765,13188,715,6,0,13,13,2933.55,0.804,medical,rent,bachelor,married,1
44,79302,5721,800,30,0,6,6,2664.93,0.403,debt_consolidation,mortgage,other,married,0
64,87789,16052,601,1,0,13,17,693.65,0.095,debt_consolidation,rent,high_school,single,0
50,108367,17104,555,37,0,10,24,3122.12,0.346,home_improvement,mortgage,high_school,single,0
58,61743,23427,637,4,0,7,4,538.85,0.105,debt_consolidation,rent,bachelor,married,0
22,44005,32645,631,13,0,9,20,2938.86,0.801,debt_consolidation,rent,master,single,1
41,34938,10633,696,17,1,13,19,3964.78,1.362,debt_consolidation,rent,master,married,1
53,32455,29585,666,35,0,6,7,3836.13,1.418,debt_consolidation,rent,bachelor,divorced,1
32,91244,15791,629,3,1,1,26,3220.94,0.424,home_improvement,own,bachelor,single,0
